id,utime,name,lat,lon
533707,2025-08-15T13:37:55Z,Strada Băiculești,44.482904,26.058967
534451,2025-08-15T13:41:38Z,Str G Bucharest - Pipera ,44.4780261703504,26.1198858160348
541726,2025-08-15T13:38:05Z,Strada Afânata,44.476724,26.029018
541729,2025-08-15T13:40:00Z,Șoseaua Chitilei,44.491302,25.998745
541732,2025-08-15T13:40:13Z,Strada Harghita,44.494953,26.024354
541735,2025-08-15T13:40:43Z,Gara de Nord,44.446229,26.076829
542218,2025-08-10T13:45:44Z,Drumul Gura Putnei,44.4130622734,26.19218730864
542476,2025-08-15T13:38:19Z,Drumul Gura Crivățului,44.41249793129,26.19358420372
76423,2025-08-15T13:36:43Z,Strada Orzari,44.43373654232,26.13383666165
94603,2025-08-15T13:40:55Z,Bulevardul General Gheorghe Magheru,44.444,26.098
